humidity,pm_2_5,temperature,hour,day,month
63.51181129,1.568965517,33.52152974,16,15,6
64.66046956,1.663793103,33.54656829,17,15,6
64.38142217,1.247863248,32.71209929,18,15,6
68.26289226,10.11206897,31.529,19,15,6
72.10968277,23.51724138,30.73543342,20,15,6
77.16872168,23.78448276,29.75500582,21,15,6
79.98575336,13.45689655,29.2490218,22,15,6
83.58888212,12.59292035,28.30043232,23,15,6
83.94405887,11.05172414,27.98606602,0,16,6
86.46454478,9.435897436,27.34532473,1,16,6
88.50885965,17.25862069,26.81544991,2,16,6
90.56744983,18.8362069,26.2083694,3,16,6
92.88863931,13.54700855,25.56911319,4,16,6
91.54367737,11.84070796,26.08770643,5,16,6
92.05151026,10.65517241,25.98891272,6,16,6
90.94937877,8.853448276,26.43933263,7,16,6
89.9024547,6.043103448,27.35586982,8,16,6
83.56555167,1.982905983,29.17869035,9,16,6
76.90633469,0.74137931,30.59560255,10,16,6
73.72448667,1.103448276,31.24935183,11,16,6
73.00745547,0.698275862,31.46623348,12,16,6
70.09730216,1.418803419,32.69775496,13,16,6
68.82726342,1.00862069,31.88242315,14,16,6
70.62300216,2.247863248,31.63047325,15,16,6
68.97499509,3.215517241,32.72067646,16,16,6
62.80573237,0.905172414,33.26093425,17,16,6
67.51703045,2.829059829,32.9531925,18,16,6
73.81862412,6.301724138,32.06154,19,16,6
77.91535252,13.52586207,30.82519287,20,16,6
80.21121725,3.896551724,29.67161769,21,16,6
83.42929965,6.64957265,29.20472761,22,16,6
85.60063684,10.4,28.89014598,23,16,6
85.91163586,10.19827586,28.80758605,0,17,6
85.40732113,11.5826087,28.34808466,1,17,6
85.1511181,8.49137931,28.23658027,2,17,6
86.30964681,7.008695652,27.63261205,3,17,6
87.95310774,7.017241379,27.40757052,4,17,6
89.10937241,7.641025641,27.22410435,5,17,6
90.14214414,8.112068966,27.00047087,6,17,6
89.94006211,10.10434783,27.09890053,7,17,6
90.26750426,10.22413793,27.43039496,8,17,6
87.91355164,6.827586207,28.52365,9,17,6
83.04214487,3.12173913,30.01885791,10,17,6
75.85764957,2.224137931,31.86026018,11,17,6
70.82185904,2.568965517,32.99563964,12,17,6
71.21512746,4.043103448,32.369965,13,17,6
88.18540391,0.409090909,25.84133974,14,17,6
89.47314089,1.025862069,25.94360578,15,17,6
91.59957835,1.478632479,26.20206877,16,17,6
92.84726922,2.456896552,26.04644698,17,17,6
93.2037936,2.724137931,26.62139622,18,17,6
